"","theme","date","count"
"1","rai_idx_bal",2012-03-01,1
"2","rai_idx_bal",2012-04-01,2
"3","rai_idx_bal",2012-07-01,1
"4","rai_idx_bal",2012-08-01,1
"5","rai_idx_bal",2012-12-01,1
"6","rai_idx_bal",2013-01-01,1
"7","rai_idx_bal",2013-03-01,4
"8","rai_idx_bal",2014-03-01,1
"9","rai_idx_bal",2015-09-01,1
"10","rai_idx_bal",2016-05-01,1
"11","rai_idx_bal",2017-11-01,1
"12","rai_idx_bal",2020-04-01,1
"13","rai_idx_bal",2020-09-01,1
"14","rai_idx_bal",2022-04-01,1
"15","rai_idx_bal",2022-05-01,4
"16","rai_idx_bal",2022-06-01,4
"17","rai_idx_bal",2024-01-01,1
"18","rai_idx_bal",2024-04-01,2
"19","rai_idx_bal",2024-05-01,2
"20","rai_idx_bal",2024-06-01,12
"21","rai_idx_bal",2024-07-01,11
"22","rai_idx_bal",NA,8
"23","rai_idx_di",2012-04-01,1
"24","rai_idx_di",2012-05-01,1
"25","rai_idx_di",2013-08-01,3
"26","rai_idx_di",2014-02-01,2
"27","rai_idx_di",2014-11-01,1
"28","rai_idx_di",2015-01-01,1
"29","rai_idx_di",2015-03-01,1
"30","rai_idx_di",2016-06-01,1
"31","rai_idx_di",2016-08-01,1
"32","rai_idx_di",2016-09-01,1
"33","rai_idx_di",2016-10-01,1
"34","rai_idx_di",2017-03-01,1
"35","rai_idx_di",2018-06-01,1
"36","rai_idx_di",2019-04-01,1
"37","rai_idx_di",2019-07-01,1
"38","rai_idx_di",2019-12-01,1
"39","rai_idx_di",2020-06-01,1
"40","rai_idx_di",2021-07-01,1
"41","rai_idx_di",2021-09-01,2
"42","rai_idx_di",2021-12-01,1
"43","rai_idx_di",2022-02-01,1
"44","rai_idx_di",2022-04-01,1
"45","rai_idx_di",2022-05-01,1
"46","rai_idx_di",2022-06-01,1
"47","rai_idx_di",2022-08-01,3
"48","rai_idx_di",2022-09-01,1
"49","rai_idx_di",2022-10-01,1
"50","rai_idx_di",2022-11-01,1
"51","rai_idx_di",2023-04-01,1
"52","rai_idx_di",2023-07-01,1
"53","rai_idx_di",2024-03-01,1
"54","rai_idx_di",2024-04-01,1
"55","rai_idx_di",2024-05-01,2
"56","rai_idx_di",2024-06-01,7
"57","rai_idx_di",2024-07-01,11
"58","rai_idx_di",NA,4
"59","rai_idx_dip",2012-03-01,2
"60","rai_idx_dip",2012-09-01,1
"61","rai_idx_dip",2013-01-01,1
"62","rai_idx_dip",2013-07-01,1
"63","rai_idx_dip",2013-08-01,1
"64","rai_idx_dip",2013-11-01,1
"65","rai_idx_dip",2014-01-01,1
"66","rai_idx_dip",2014-04-01,1
"67","rai_idx_dip",2014-07-01,1
"68","rai_idx_dip",2014-08-01,1
"69","rai_idx_dip",2015-06-01,1
"70","rai_idx_dip",2015-10-01,1
"71","rai_idx_dip",2015-11-01,1
"72","rai_idx_dip",2016-10-01,1
"73","rai_idx_dip",2018-02-01,1
"74","rai_idx_dip",2018-03-01,1
"75","rai_idx_dip",2019-04-01,1
"76","rai_idx_dip",2019-12-01,1
"77","rai_idx_dip",2021-09-01,3
"78","rai_idx_dip",2021-12-01,2
"79","rai_idx_dip",2022-01-01,3
"80","rai_idx_dip",2022-02-01,13
"81","rai_idx_dip",2022-03-01,3
"82","rai_idx_dip",2022-05-01,4
"83","rai_idx_dip",2022-06-01,3
"84","rai_idx_dip",2022-07-01,1
"85","rai_idx_dip",2022-08-01,1
"86","rai_idx_dip",2022-10-01,2
"87","rai_idx_dip",2023-02-01,1
"88","rai_idx_dip",2023-07-01,3
"89","rai_idx_dip",2023-09-01,1
"90","rai_idx_dip",2023-11-01,1
"91","rai_idx_dip",2024-05-01,1
"92","rai_idx_dip",NA,1
"93","rai_idx_ep",2012-03-01,3
"94","rai_idx_ep",2012-04-01,1
"95","rai_idx_ep",2012-06-01,1
"96","rai_idx_ep",2012-10-01,1
"97","rai_idx_ep",2013-09-01,1
"98","rai_idx_ep",2014-04-01,1
"99","rai_idx_ep",2014-06-01,1
"100","rai_idx_ep",2014-08-01,1
"101","rai_idx_ep",2015-01-01,1
"102","rai_idx_ep",2015-02-01,1
"103","rai_idx_ep",2015-04-01,1
"104","rai_idx_ep",2015-06-01,1
"105","rai_idx_ep",2015-08-01,1
"106","rai_idx_ep",2016-01-01,1
"107","rai_idx_ep",2016-03-01,1
"108","rai_idx_ep",2016-04-01,1
"109","rai_idx_ep",2017-01-01,1
"110","rai_idx_ep",2018-02-01,1
"111","rai_idx_ep",2019-01-01,1
"112","rai_idx_ep",2019-12-01,1
"113","rai_idx_ep",2020-02-01,1
"114","rai_idx_ep",2020-04-01,1
"115","rai_idx_ep",2020-07-01,1
"116","rai_idx_ep",2020-08-01,2
"117","rai_idx_ep",2020-11-01,1
"118","rai_idx_ep",2021-07-01,1
"119","rai_idx_ep",2021-10-01,1
"120","rai_idx_ep",2021-11-01,1
"121","rai_idx_ep",2022-01-01,3
"122","rai_idx_ep",2022-02-01,12
"123","rai_idx_ep",2022-03-01,1
"124","rai_idx_ep",2022-04-01,2
"125","rai_idx_ep",2022-05-01,3
"126","rai_idx_ep",2022-06-01,1
"127","rai_idx_ep",2022-10-01,1
"128","rai_idx_ep",2022-12-01,2
"129","rai_idx_ep",2023-01-01,1
"130","rai_idx_ep",2023-05-01,1
"131","rai_idx_ep",2023-06-01,1
"132","rai_idx_ep",2024-06-01,1
"133","rai_idx_ep",NA,2
"134","rai_idx_hp",2012-03-01,2
"135","rai_idx_hp",2012-06-01,1
"136","rai_idx_hp",2012-09-01,1
"137","rai_idx_hp",2013-09-01,1
"138","rai_idx_hp",2014-03-01,1
"139","rai_idx_hp",2014-08-01,1
"140","rai_idx_hp",2014-09-01,1
"141","rai_idx_hp",2015-01-01,1
"142","rai_idx_hp",2015-06-01,1
"143","rai_idx_hp",2015-09-01,1
"144","rai_idx_hp",2015-10-01,2
"145","rai_idx_hp",2016-07-01,1
"146","rai_idx_hp",2017-02-01,1
"147","rai_idx_hp",2017-06-01,1
"148","rai_idx_hp",2017-11-01,1
"149","rai_idx_hp",2018-02-01,1
"150","rai_idx_hp",2018-04-01,1
"151","rai_idx_hp",2019-02-01,1
"152","rai_idx_hp",2019-09-01,1
"153","rai_idx_hp",2020-01-01,1
"154","rai_idx_hp",2020-07-01,1
"155","rai_idx_hp",2020-12-01,1
"156","rai_idx_hp",2021-08-01,2
"157","rai_idx_hp",2021-09-01,2
"158","rai_idx_hp",2021-10-01,1
"159","rai_idx_hp",2021-12-01,3
"160","rai_idx_hp",2022-01-01,3
"161","rai_idx_hp",2022-02-01,2
"162","rai_idx_hp",2022-03-01,1
"163","rai_idx_hp",2022-04-01,7
"164","rai_idx_hp",2022-05-01,3
"165","rai_idx_hp",2022-06-01,1
"166","rai_idx_hp",2022-07-01,1
"167","rai_idx_hp",2023-01-01,1
"168","rai_idx_hp",2024-02-01,1
"169","rai_idx_hp",2024-04-01,1
"170","rai_idx_hp",2024-06-01,1
"171","rai_idx_hp",2024-07-01,3
"172","rai_idx_hp",NA,5
"173","rai_idx_sp",2012-06-01,1
"174","rai_idx_sp",2012-08-01,1
"175","rai_idx_sp",2012-09-01,1
"176","rai_idx_sp",2012-11-01,2
"177","rai_idx_sp",2013-06-01,2
"178","rai_idx_sp",2013-10-01,4
"179","rai_idx_sp",2013-12-01,2
"180","rai_idx_sp",2014-02-01,1
"181","rai_idx_sp",2014-05-01,2
"182","rai_idx_sp",2014-07-01,1
"183","rai_idx_sp",2014-08-01,1
"184","rai_idx_sp",2014-10-01,1
"185","rai_idx_sp",2015-09-01,1
"186","rai_idx_sp",2016-01-01,1
"187","rai_idx_sp",2016-10-01,1
"188","rai_idx_sp",2017-10-01,2
"189","rai_idx_sp",2017-11-01,1
"190","rai_idx_sp",2017-12-01,1
"191","rai_idx_sp",2018-02-01,1
"192","rai_idx_sp",2018-03-01,1
"193","rai_idx_sp",2018-08-01,2
"194","rai_idx_sp",2019-06-01,2
"195","rai_idx_sp",2019-10-01,1
"196","rai_idx_sp",2019-11-01,1
"197","rai_idx_sp",2021-08-01,1
"198","rai_idx_sp",2021-09-01,1
"199","rai_idx_sp",2022-02-01,2
"200","rai_idx_sp",2022-03-01,1
"201","rai_idx_sp",2022-04-01,1
"202","rai_idx_sp",2022-05-01,3
"203","rai_idx_sp",2022-06-01,2
"204","rai_idx_sp",2022-07-01,1
"205","rai_idx_sp",2022-11-01,1
"206","rai_idx_sp",2022-12-01,1
"207","rai_idx_sp",2023-03-01,1
"208","rai_idx_sp",2023-04-01,2
"209","rai_idx_sp",2023-10-01,1
"210","rai_idx_sp",2023-11-01,1
"211","rai_idx_sp",2023-12-01,1
"212","rai_idx_sp",2024-03-01,1
"213","rai_idx_sp",2024-06-01,3
"214","rai_idx_sp",NA,4
